patent no;patent title;chemical type 1
US2005158396;ANTIOXIDATIVE PREPARATIONS;Antioxidant
US2009095164;METHOD OF ENHANCING BEVERAGES BY MEANS OF A UNIQUE MICROENCAPSULATED DELIVERY SYSTEM;Additives General
US2008160084;NATURAL WATER-INSOLUBLE ENCAPSULATION COMPOSITIONS AND PROCESSES FOR PREPARING SAME;Colouring Agent
US5342626;COMPOSITION AND PROCESS FOR GELATIN-FREE SOFT CAPSULES;Colouring Agent
US2006051425;METHOD OF MICROENCAPSULATION;Colouring Agent
US2017348430;MICELAR DELIVERY SYSTEM BASED ON ENZYME-RESPONSIVE AMPHIPHILIC PEG-DENDRON HYBRID;Colouring Agent
US2005118273;MICROCAPSULES AND ORAL COMPOSITION CONTAINING THE SAME;Colouring Agent
US2012039967;LOW RUB-OFF COMPOSITIONS;Colouring Agent
US3510435;METHOD OF PRODUCING OPAQUE ENCAPSULATED MATERIALS;Colouring Agent
US2002179075;CHEMICAL AGENT DELIVERY DEVICE AND METHOD OF USING SAME;Biozide
US5916591;SOFT GELATIN CAPSULES;Reinforcing Agent
US2009095164;METHOD OF ENHANCING BEVERAGES BY MEANS OF A UNIQUE MICROENCAPSULATED DELIVERY SYSTEM;Crosslink Or Curing Agent
US4001480;ENCAPSULATION PROCESS UTILIZING MICROORGANISMS AND PRODUCTS PRODUCED THEREBY;Crosslink Or Curing Agent
US3920849;CHEWING GUM CONTAINING FLAVOR COMPOSITION;Odorant
US2005048164;COATED CHEWING GUM COMPRISING AN ACTIVE SUBSTANCE HAVING SYSTEMIC ACTIVITY;Coolant
US2002124742;METHOD OF PRINTING A TEXTILE MATERIAL IN SECTIONS;Foaming Agent
US6468568;OLIGOSACCHARIDE ENCAPSULATED MINERAL AND VITAMIN INGREDIENTS;calcium
US6436453;PRODUCTION OF OIL ENCAPSULATED MINERALS AND VITAMINS IN A GLASSY MATRIX;calcium
US2519487;MULTIVITAMIN PREPARATION;calcium
US10098849;ANTI-RADICAL AGENTS;Xanthophylls
US2008233182;ORGANIC COMPOUNDS;Vitamin E
US2009239945;ORAL COMPOSITION WITH AN ANTIAGEING EFFECT ON THE SKIN;Vitamin E
US2004116514;COMPOSITIONS FOR PREVENTING HUMAN CANCER AND METHOD OF PREVENTING HUMAN CANCER;Vitamin E
US2015296821;FERMENTED DAIRY PRODUCT COMPRISING MICROCAPSULES AND PROCESS FOR PREPARING THE SAME;Vitamin E
US5063057;COSMETIC CAPSULES;Vitamin E
US2002018772;SUPER ABSORPTION COENZYME Q10;Vitamin E
US2013245061;PHARMACEUTICAL COMPOSITIONS;Vitamin E
US6090414;METHOD AND COMPOSITION TO REDUCE CANCER INCIDENCE;Vitamin E
US2007021497;VITAMIN E COMPOSITIONS;Vitamin E
US2002098172;COENZYME Q10 FORMULATION AND PROCESS METHODOLOGY FOR SOFT GEL CAPSULES MANUFACTURING;Vitamin E
US2017056463;COMPOSITIONS AND METHODS FOR TREATING DIABETES;Vitamin E
US6086910;FOOD SUPPLEMENTS;Vitamin E
US2005249820;NUTRITIONAL SUPPLEMENT FOR THE TREATMENT AND PREVENTION OF MACULAR DEGENERATION;Vitamin E
US4582708;ANIMAL FEED SUPPLEMENT;Vitamin E
US2007161634;COMPOUNDS AS CCR5 ANTAGONISTS;Vitamin E
US2001014339;PROCESS FOR PRODUCING SUSTAINED-RELEASE PREPARATION;Vitamin E
US2003170324;25-HYDROXY VITAMIN D3 COMPOSITIONS;Vitamin E
US2011262553;COMPOSITIONS SUITABLE FOR TREATING CUTANEOUS SIGNS OF AGING;Vitamin E
US2005202104;METHOD OF ENHANCEMENT OF COGNITIVE SKILLS;Vitamin E
US2012052135;PHOSPHATE ADSORBENT;Vitamin E
US2007160664;PHARMACEUTICAL COMPOSITIONS COMPRISING OF PROTON PUMP INHIBITOR AND PROKINETIC AGENT;Vitamin E
US2005238675;WATER-SOLUBLE FORMULATIONS OF FAT SOLUBLE VITAMINS AND PHARMACEUTICAL AGENTS AND THEIR APPLICATIONS;Vitamin E
US2008287662;Balanites Aegyptiaca Saponins and Uses Thereof;Vitamin E
US10016363;PRE-SPRAY EMULSIONS AND POWDERS CONTAINING NON-POLAR COMPOUNDS;Vitamin E
US5648377;FORMULATIONS CONTAINING CAROTENOIDS AN PROCAROTENOIDS COMBINED WITH POLYPHENOLS IN THE PREVENTION OF THE DAMAGES DUE TO AN ABNORMAL PRODUCTION OF FREE RADICALS;Vitamin E
US5759559;METHOD AND COMPOSITION FOR TREATING ACNE;Vitamin E
US6079418;Tobacco products with dry powdered vitamin E;Vitamin E
US2017056339;FORMULATION OF FAT-SOLUBLE VITAMIN;Vitamin E
US3833725;DIALKYLATED GLYCOL COMPOSITIONS AND MEDICAMENT PREPARATIONS CONTAINING SAME;Vitamin E
US5780039;ORALLY-INGESTIBLE NUTRITION COMPOSITIONS HAVING IMPROVED PALATABILITY;Vitamin E
US5925381;Encapsulation of oleophilic substances and compositions produced thereby;Vitamin E
US2010278747;CARRIER;Vitamin E
US5126328;PROCESS FOR CROSSLINKING GELATIN;Vitamin E
US2002160060;ENRICHED SPREADS;Vitamin E
US5288550;PRODUCTION METHOD OF NON-FITTING TYPE CAPSULE AND NON-FITTING TYPE CAPSULE PRODUCED THEREBY;Vitamin E
US2007141133;GLUTATHIONE BASED DELIVERY SYSTEM;Vitamin E
US2014199236;ANDROGEN RECEPTOR MODULATOR AND USES THEREOF;Vitamin E
US5310555;ORAL NUTRITIONAL AND DIETARY COMPOSITION;Vitamin E
US2013233787;COMPOSITE BIOCOMPATIBLE ARTICLES MADE FROM DOPED POLYSULPHONE FILAMENTS AND A PROCESS FOR MAKING THE SAME;Vitamin E
US2011218209;NUTRIENT DELIEVRY DRUG COMPOSITION;Vitamin E
US2004009235;NANOMETER GRADE HYDROXYAPATITE COMPOSITION FOR REPLENISHING CALCIUM;Vitamin E
US2006115555;NUTRITIONAL SUPPLEMENTS CONTAINING XANTHONE EXTRACTS;Vitamin E
US6228387;Integrated comprehensive hemorrhoid treatment compositions and regimen;Vitamin E
US2006018983;COMPOSITION CONTAINING GREEN-YELLOW VEGETABLES AND LIGHT-COLORED VEGETABLES;Vitamin E
US2008039385;NEUBLASTIN VARIANTS;Vitamin E
US2002098253;ORAL COMPOSITIONS CONTAINING LOTUS;Vitamin E
US3138532;WATER-DISPERSIBLE GELATIN COMPOSITIONS CONTAINING FAT-SOLUBLE VITAMIN-ACTIVE MATERIAL, AND PREPARATION OF DROPLETS AND BEADLETS;Vitamin E
US2008131501;ENHANCED IMMEDIATE RELEASE FORMULATIONS OF TOPIRAMATE;Vitamin E
US6642259;IMMUNE STIMULATING DIETARY SUPPLEMENT AND METHOD OF USE THEREOF;Vitamin E
US2005214383;MULTI-VITAMIN AND MINERAL NUTRITIONAL SUPPLEMENTS;Vitamin E
US5002780;MAGNESIUM SALT OF A FATTY ACID ACYL LACTYLATE;Vitamin E
US5002779;DRY STABLE CHOCOLATE BEVERAGE CONTAINING IRON AND VITAMIN C;Vitamin E
US5153001;AGENT FOR TREATING HEART DISEASE;Vitamin E
US4612194;Anti-rheumatic agents and their use;Vitamin E
US2006073996;LIQUID SOAP WITH VITAMIN BEADS AND METHOD FOR MAKING SAME;Vitamin E
US2016008241;POWDERED COMPOSITION FOR USE IN THE PREPARATION OF WHITENING COSMETIC COMPOSITIONS;Vitamin E
US2009011012;FATTY ACID COMPOSITIONS AND METHODS OF USE;Vitamin E
US6048562;ENCAPSULATION PROCESS;Vitamin E
US2008161318;NOVEL COMPOSITIONS AND USES THEREOF;Vitamin E
US2004191295;COMPOSITION AND METHOD FOR VIRAL INHIBITION;Vitamin E
US10098849;ANTI-RADICAL AGENTS;Vitamin E
US2016279058;PROTEIN-BASED GEL DELIVERY SYSTEM;Vitamin E
US6086915;COMPOSITIONS AND METHODS OF ADJUSTING STEROID HORMONE METABOLISM THROUGH PHYTOCHEMICALS;Vitamin E
US4389419;Vitamin encapsulation;Vitamin E
US2018368458;TIME RELEASE VITAMINS AND MINERALS IN EDIBLE OILS;Vitamin E
US2006228414;METHOD FOR THE PREPARATION OF CONTROLLED RELEASE FORMULATIONS;Vitamin E
US2002146400;COMPOSITION FOR REDUCING PLASMA TRIGLYCERIDES, PLATELET AGGREGATION, AND OXIDATIVE CAPACITY;Vitamin E
US2006051425;METHOD OF MICROENCAPSULATION;Vitamin E
US2018078598;DIETARY SUPPLEMENTS CONTAINING DEHYDRATED STRAWBERRY;Vitamin E
US2006182798;COMPOSITION FOR GELATIN COATING, GELATIN COATING, AND PREPARATION USING THE SAME;Vitamin E
US4670247;PROCESS FOR PREPARING FAT-SOLUBLE VITAMIN ACTIVE BEADLETS;Vitamin E
US2005214357;LIPOSOME AND PREPARATION METHOD OF THE SAME;Vitamin E
US2003082215;FENOFIBRATE GALENIC FORMULATIONS AND METHOD FOR OBTAINING SAME;Vitamin E
US4292304;Oil based dentifrice;Vitamin E
US5891845;Drug delivery systems utilizing liquid crystal structures;Vitamin E
US2010028459;NUTRITIONAL SUPPLEMENT COMPOSITION FOR TREATMENT OF OCULAR DISEASES;Vitamin E
US2014234406;NOVEL NANOPARTICULATE SUSPENSION FOR INCORPORATING FAT-SOLUBLE VITAMINS IN THE TREATMENT OF HAIR THINNING AND HAIR LOSS;Vitamin E
US2013101569;HAIR GROWTH STIMULANT;Vitamin E
US2014121610;GARMENT AND METHOD USED TO PROVIDE HYDRATION AND ELASTICITY TO THE SKIN OF ABDOMEN AREA;Vitamin E
US10188696;PHARMACEUTICAL COMPOSITIONS;Vitamin E
US5976568;MODULAR SYSTEM OF DIETARY SUPPLEMENT COMPOSITIONS FOR OPTIMIZING HEALTH BENEFITS AND METHODS;Vitamin E
US5972985;HISTIDINE CONTAINING NUTRICEUTICAL COMPOSITIONS;Vitamin E
US3221029;AUTOGENOUS, VITAMIN E ACTIVE BEADLET PRODUCT AND PROCESS;Vitamin E
US2008089941;FUCOIDAN COMPOSITIONS AND METHODS;Vitamin E
US2015044308;PHARMACEUTICAL COMPOSITION FOR TREATING URINARY INCONTINENCE AND ENURESIS;Vitamin E
US2014314911;DEEP-SEA FISH OIL CAPSULE AND ITS PREPARATION METHOD;Vitamin E
US5916591;SOFT GELATIN CAPSULES;Vitamin E
US2007082064;NUTRITIONAL OR DIETARY SUPPLEMENT FOR THE TREATMENT OF MACULAR DEGENERATION;Vitamin E
US2015224035;NANOPARTICLE BASED COSMETIC COMPOSITION;Vitamin E
US2009209661;DELIVERY PARTICLE;Vitamin E
US2003194428;PROCESS FOR ENCAPSULATING MULTI-PHASE, MULTI-COMPARTMENT CAPSULES;Vitamin E
US2017348249;CALCIFEDIOL SOFT CAPSULES;Vitamin E
US2003190347;USE OF NANODISPERSIONS IN PHARMACEUTICAL END FORMULATIONS;Vitamin E
US8613961;DERMATOLOGICAL CREAM WITH NATURAL INGREDIENTS BASE;Vitamin E
US2018289625;CAPSULE WITH VOLUME-ADJUSTABLE INTERNAL DIAPHRAGM;Vitamin E
US2005181021;VITAMIN E PHOSPHATE/PHOSPHATIDYCHOLINE LIPOSOMES TO PROTECT FROM OR AMELIORATE CELL DAMAGE;Vitamin E
US2010159029;COMPOSITION AND NUTRITIONAL SUPPLEMENTS FOR IMPROVING OCULAR HEALTH AND REDUCING OCULAR INFLAMMATORY RESPONSE;Vitamin E
US2018280333;FISH EGG EXTRACTS, OMEGA-3 LIPID-BASED COMPOSITIONS AND USES THEREOF;Vitamin E
US2016250128;TARGETED CAPSULES FOR THE DELIVERY OF SKIN WHITENING AGENTS IN THE SKIN;Vitamin E
US2014356424;COMPOSITION FOR TREATMENT OR REDUCTION OF SYMPTOMS RELATED TO PREMENSTRUAL SYNDROME (PMS), PREMENSTRUAL DISPHORIC DISORDER (PMDD), PREMENOPAUSE, MENOPAUSE OR FEMALE HORMONAL DISORDERS, IN A PHARMACEUTICAL COMPOSITION CONTAINING SAID FORM, AND PROCESS FOR PRODUCING SAID PHARMACEUTICAL FORM AND USE OF SAID COMPOSITION;Vitamin E
US2004023820;LIQUID SOAP WITH VITAMIN BEADS AND METHOD FOR MAKING SAME;Vitamin E
US2011250298;COMPOSITION TO HELP PROTECT A USER AGAINST LIVER DAMAGE FROM ALCOHOL CONSUMPTION;Vitamin E
